# ----------------------------------------
# Páginas e telas: Título da página e nome da tela
# Conta: Viva Fidelidade
# Propriedade: Viva Fidelidade 1.5
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20260524
Título da página e nome da tela,Página de destino + string de consulta,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
(not set),/selectTrip?originCode=50604&origin=FORTALEZA%20-%20CE&destinationCode=48576&destination=JUAZEIRO%20DO%20NORTE%20-%20CE&departureDate=2025-07-29,61,1,61,886,76,7,0
(not set),/selectTrip?originCode=48653&origin=PARNAIBA%20-%20PI&destinationCode=50039&destination=TERESINA%20-%20PI&departureDate=2025-11-22,59,3,19.666666666666668,250,122,17,0
(not set),/selectTrip?originCode=50604&origin=FORTALEZA%20-%20CE&destinationCode=48575&destination=BARBALHA%20-%20CE&departureDate=2025-06-26,57,1,57,2198,117,16,0
(not set),/selectTrip?originCode=48404&origin=LUIS%20EDUARDO%20MAGALHAES%20-%20BA&destinationCode=50232&destination=SALVADOR%20-%20BA&departureDate=2025-11-20,52,52,1,0,200,0,0
(not set),/selectTrip?originCode=50604&origin=FORTALEZA+-+CE&destinationCode=48687&destination=CAMOCIM+-+CE&departureDate=2025-10-27,52,1,52,959,145,7,0
(not set),/selectTrip?originCode=FORTALEZA%20-%20CE&destinationCode=TIMON%20-%20MA&departureDate=2025-04-01,50,1,50,1741,113,21,0
(not set),/auth/verifyCpf?ref=0091A8,49,1,49,671,106,12,0
(not set),/selectTrip?originCode=45686&origin=VALENCA%20-%20RJ&destinationCode=49495&destination=RIO%20DE%20JANEIRO%20-%20RJ&departureDate=2025-08-17,49,1,49,988,113,5,0
(not set),/auth/verifyCpf?ref=EA63F9,48,1,48,1819,88,2,0
(not set),/selectTrip?originCode=49495&origin=RIO%20DE%20JANEIRO%20-%20RJ&destinationCode=45775&destination=JUIZ%20DE%20FORA%20-%20MG&departureDate=2026-04-27,48,1,48,1828,92,20,0
(not set),/selectTrip?originCode=50927&origin=NATAL%20-%20RN&destinationCode=50604&destination=FORTALEZA%20-%20CE&departureDate=2026-05-15,47,2,23.5,690,98,20,0
