# ----------------------------------------
# Aquisição de tráfego: Grupo principal de canais da sessão (Agrupamento de canais padrão)
# Conta: Viva Fidelidade
# Propriedade: Viva Fidelidade 1.5
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20260524
Grupo principal de canais da sessão (Agrupamento de canais padrão),Origem / mídia da sessão,Sessões,Novos usuários,Usuários recorrentes,Taxa de engajamento,Tempo médio de engajamento por sessão,Receita total,Contagem de eventos,Eventos principais
Referral,desk.zoho.com / referral,199,1,5,0.6884422110552764,43.45226130653266,0,1798,109
Organic Social,lm.facebook.com / referral,171,131,18,0.7953216374269005,110.18128654970761,0,1516,130
Referral,diariodotransporte.com.br / referral,151,129,15,0.7748344370860927,97.68211920529801,0,1292,135
Referral,diariodotransporte-com-br.cdn.ampproject.org / referral,149,136,10,0.7986577181208053,98.79865771812081,0,1160,98
Unassigned,DiaMulheres1 / emailI,149,77,34,0.7449664429530202,87.24832214765101,0,1345,129
Organic Search,yahoo / organic,142,12,9,0.9366197183098591,232.07746478873239,0,2345,343
Referral,mail.google.com / referral,126,18,42,0.5396825396825397,53.96031746031746,0,862,74
Display,displaypiaui / display,119,35,18,0.7815126050420168,101.00840336134453,0,1424,170
Referral,bonifiq / referral,119,55,30,0.9159663865546218,190.63025210084032,0,1303,135
Referral,diegoemir.com / referral,118,91,7,0.6271186440677966,80.48305084745763,0,844,103
Unassigned,viva / whatsapp,114,83,19,0.7368421052631579,121.12280701754386,0,1063,114
Unassigned,chatgpt.com / (not set),104,79,12,0.7884615384615384,115.64423076923077,0,1067,110
Email,rotasprioritarias / email,102,57,12,0.6274509803921569,44.35294117647059,0,727,70
Unassigned,rodoviarias / qrcode,82,28,9,0.6097560975609756,48.63414634146341,0,528,20
Referral,blog.viajeguanabara.com.br / referral,79,33,29,0.8734177215189873,195.29113924050634,0,1076,133
Referral,email.useinsider.com / referral,77,52,14,0.6883116883116883,123.50649350649351,0,732,61
Referral,outlook.live.com / referral,73,6,17,0.6575342465753424,77.20547945205479,0,623,52
Referral,app.tallos.com.br / referral,71,2,18,0.5352112676056338,12.492957746478874,0,270,8
Organic Search,duckduckgo / organic,70,40,14,0.8285714285714286,194.9857142857143,0,903,99
Unassigned,viva_guanabara / Insta,67,67,0,0.3880597014925373,7.074626865671642,0,244,3
Organic Social,instagram / social,58,46,9,0.8103448275862069,145.36206896551724,0,760,76
Referral,4ocugrcsgj.preview-beefreecontent.com / referral,51,0,3,0.6470588235294118,37.92156862745098,0,357,38
Paid Social,facebook / paid_social_prsp,50,41,9,0.66,83.08,0,420,61
Organic Search,ecosia.org / organic,49,19,14,0.7755102040816326,231.81632653061226,0,701,113
Unassigned,viva_sampaio / Insta,49,49,0,0.4489795918367347,2.510204081632653,0,169,0
Referral,docs.google.com / referral,48,1,1,0.7916666666666666,121.33333333333333,0,738,112
Referral,mais.vivafidelidade.com / referral,45,2,11,0.7555555555555555,231.57777777777778,0,685,110
Referral,quickaccess.internet.apps.samsung.com / referral,41,11,6,0.8536585365853658,114.3170731707317,0,576,66
Referral,bmail.uol.com.br / referral,34,1,11,0.5882352941176471,106.97058823529412,0,286,14
Referral,chatgpt.com / referral,33,25,6,0.7575757575757576,77.48484848484848,0,262,26
Unassigned,viva_util / Insta,32,32,0,0.34375,1.90625,0,107,0
Email,ivibavefyvebef / email,28,28,0,0.5357142857142857,12.75,0,139,0
Paid Social,facebook / paid_social_rtgt,26,23,1,0.5769230769230769,62.57692307692308,0,195,17
Referral,auth.viva.webpremios.digital / referral,26,21,2,0.4230769230769231,37.96153846153846,0,173,4
Referral,mercadoeeventos.com.br / referral,26,18,5,0.6153846153846154,85.76923076923077,0,205,19
Referral,portalin.com.br / referral,23,20,1,0.7391304347826086,86.30434782608695,0,221,29
Referral,qr.me-qr.com / referral,23,18,1,0.7391304347826086,137.3913043478261,0,245,20
Unassigned,viva_guanabara / home,22,2,3,0.5,58.86363636363637,0,175,7
Email,fbyffabedf / email,21,21,0,0.23809523809523808,6.904761904761905,0,84,0
Referral,scanned.page / referral,20,0,4,0.75,27.95,0,141,13
Referral,viva.webpremios.digital / referral,20,1,2,0.5,67.55,0,146,15
Referral,sn-ecomm-web-homolog.us-east-2.viajeguanabara.com.br / referral,19,12,2,0.47368421052631576,38.26315789473684,0,119,4
Unassigned,viva_guanabara / face,18,13,2,0.5,13.666666666666666,0,79,2
Referral,sn-ecomm-web-develop.us-east-2.viajeguanabara.com.br / referral,16,3,3,0.125,1.3125,0,44,0
Email,cadastro / email,15,8,5,0.7333333333333333,83.26666666666667,0,159,0
Email,email / (not set),15,15,0,0.7333333333333333,17.333333333333332,0,90,0
Organic Video,youtube.com / referral,15,4,3,0.8,123.4,0,162,13
Unassigned,viva_util / home,15,5,2,0.7333333333333333,210.73333333333332,0,187,25
Unassigned,cbbf-ivaebf / f-zbvy,14,15,0,0.9285714285714286,23.285714285714285,0,88,0
Organic Search,us.search.yahoo.com / referral,13,0,1,1,175.69230769230768,0,181,27
Paid Social,ig / paid,13,12,1,0.23076923076923078,2.6923076923076925,0,48,1
Unassigned,qrcodeplaquinha / 3vivaday,13,10,1,0.46153846153846156,34.07692307692308,0,73,3
Referral,search.brave.com / referral,12,5,4,0.8333333333333334,105.5,0,109,7
Unassigned,blog / economia,12,10,1,0.16666666666666666,22.25,0,60,2
Unassigned,emailinsider / crm,12,0,1,0.5,15.5,0,63,2
Organic Social,social / blog,10,5,1,0.4,65.8,0,60,2
Referral,typeform.com / referral,10,3,2,0.7,102.9,0,121,9
Referral,localhost:3000 / referral,9,7,1,0.2222222222222222,1.3333333333333333,0,29,0
Organic Social,facebook / referral,8,6,2,0.75,130.625,0,60,4
Referral,scan.page / referral,8,7,1,0.875,24.5,0,52,0
Referral,statics.teams.cdn.office.net / referral,8,4,2,0.75,67.625,0,69,5
Unassigned,brevo / (not set),8,8,0,0.625,8.125,0,47,0
Organic Social,instagram / stories,7,6,1,0.7142857142857143,177.28571428571428,0,100,6
Organic Social,linkedin.com / referral,7,3,2,0.42857142857142855,21.285714285714285,0,36,3
Referral,canva.com / referral,7,0,1,0.8571428571428571,47.57142857142857,0,35,0
Referral,jornaldaparnaiba.com / referral,7,2,1,0.8571428571428571,308.85714285714283,0,97,2
Unassigned,QR Code / Panfleto,7,6,1,0.5714285714285714,82.28571428571429,0,70,5
Unassigned,boas-vindas / (not set),7,8,0,0.8571428571428571,42.142857142857146,0,60,0
